"name","gender","death_date","nationality"
"Abel Lefranc",,1952,"France"
"Adrien Arcelin",,1904,"France"
"Alan D. Ridge",,1997,"Canada"
"Albin Body",,1916,"Belgique"
"Alexandre Bruel",,1920,"France"
"Alfred Morel-Fatio",,1924,"France"
"Alfred Schnegg",,1989,"Suisse"
"André Berthier",,2000,"France"
"André de Maricourt",,1945,"France"
"Armand Rendu",,1905,"France"
"Arthur Giry",,1899,"France"
"Auguste Picard",,1943,"France"
"Auguste Prudhomme",,1916,"France"
"Bertrand Gille (historien)",,1980,"France"
"Carlos Wyffels",,2003,"Belgique"
"Charles Baudon de Mony",,1912,"France"
"Charles Beauquier",,1916,"France"
"Charles Bonnier",,1926,"France"
"Charles Portal (archiviste)",,1936,"France"
"Charles Samaran",,1982,"France"
"Charles Tranchant",,1913,"France"
"Charles de Lasteyrie",,1936,"France"
"Claude Cochin",,1918,"France"
"Claude Dulong",,2017,"France"
"Edgard Boutaric",,1877,"France"
"Ernest de Fréville",,1855,"France"
"Eugène Lefèvre-Pontalis",,1923,"France"
"Ferdinand Chalandon",,1921,"France"
"Félix Bourquelot",,1868,"France"
"Gabriel de Mun",,1952,"France"
"George Flahiff",,1989,"Canada"
"Georges Huisman",,1957,"France"
"Henri-François Delaborde (historien)",,1927,"France"
"Henri Bouchot",,1906,"France"
"Henri Brincard",,2014,"France"
"Henri Hours",,2017,"France"
"Henri Sculfort",,1914,"France"
"Henry d'Allemagne",,1950,"France"
"Henry de Surirey de Saint-Remy",,1994,"France"
"Jacques Boulenger",,1944,"France"
"Jacques Monfrin",,1998,"France"
"Jean-François Bergier",,2009,"Suisse"
"Jean Argeliès",,1914,"France"
"Jean Burias",,2016,"France"
"Jean Daridan",,2002,"France"
"Jean Mallon",,1982,"France"
"Jean Martin-Demézil",,2002,"France"
"Jeanne Laurent",,1989,"France"
"Jules Borgnet",,1872,"Belgique"
"Jules Delahaye",,1925,"France"
"Jules Gauthier (historien)",,1905,"France"
"Jules Guiffrey",,1918,"France"
"Louis-Prosper Gachard",,1885,"Belgique"
"Louis Batiffol",,1946,"France"
"Louis Blancard",,1902,"France"
"Louis Germain-Martin",,1948,"France"
"Louis Lefoullon",,1895,"France"
"Louis Serbat",,1953,"France"
"Léonce Celier",,1963,"France"
"Marcel Aubert",,1962,"France"
"Marcel Gouron",,1982,"France"
"Marianne Mahn-Lot",,2005,"France"
"Maurice Clément",,1939,"France"
"Michel Denieul",,2013,"France"
"Moshé Catane",,1995,"France"
"Moshé Catane",,1995,"Israël"
"Norbert Dufourcq",,1990,"France"
"Noël Valois",,1915,"France"
"Paul Boudet (bibliothécaire)",,1948,"France"
"Paul Chevreux",,1913,"France"
"Paul Cornu (historien)",,1914,"France"
"Paul Durrieu",,1925,"France"
"Paul Viollet",,1914,"France"
"Pierre Marot",,1992,"France"
"Pierre de Vaissière",,1942,"France"
"Prudens van Duyse",,1859,"Belgique"
"René Merlet",,1933,"France"
"Robert-Henri Bautier",,2010,"France"
"Robert Avezou",,1993,"France"
"Robert Bossuat",,1968,"France"
"Robert Marichal",,1999,"France"
"Robert de Lasteyrie",,1921,"France"
"Roger Grand",,1962,"France"
"Siméon Luce",,1892,"France"
"Thierry Delcourt",,2011,"France"
"Théophile Dufour (juriste)",,1922,"Suisse"
"Vincent Audren de Kerdrel",,1899,"France"
"Yvonne Deslandres",,1986,"France"
"Émile-Guillaume Léonard",,1961,"France"
"Émile Maupas",,1916,"France"
"Émile Travers",,1913,"France"
