,personUri,personLabel,birthYear,gender,countries,continents,fields
0,http://www.wikidata.org/entity/Q54553381,Waverly Lowell,1951,female,United States,North America,"library science, history of architecture, curating, archival science"
1,http://www.wikidata.org/entity/Q20164843,Günter Buchstab,1944,male,Germany,Europe,
2,http://www.wikidata.org/entity/Q2637717,Albert Bruckner,1904,male,Switzerland,Europe,"medieval studies, archival science, palaeography, history"
3,http://www.wikidata.org/entity/Q5783602,Conrado Morterero Simón,1915,male,Spain,Europe,
4,http://www.wikidata.org/entity/Q15429548,Karlheinz Geppert,1955,male,Germany,Europe,
5,http://www.wikidata.org/entity/Q35848593,Jean Rott,1911,male,France,Europe,
6,http://www.wikidata.org/entity/Q47486900,Ulrich Nachbaur,1962,male,Austria,Europe,
7,http://www.wikidata.org/entity/Q115776988,Josep Sanfeliu i Vernis,1913,male,Spain,Europe,
8,http://www.wikidata.org/entity/Q56479112,Edward B. Moogk,1914,male,Canada,North America,
9,http://www.wikidata.org/entity/Q94657342,Martha Royce Blaine,1923,female,United States,North America,
10,http://www.wikidata.org/entity/Q111028979,Kurt Hochstuhl,1954,male,Germany,Europe,
11,http://www.wikidata.org/entity/Q18020779,Heinrich Börsting,1900,male,Germany,Europe,
12,http://www.wikidata.org/entity/Q569637,Joaquín Albareda y Ramoneda,1892,male,Spain,Europe,history
13,http://www.wikidata.org/entity/Q566270,Annemarie Fenzl,1945,female,Austria,Europe,
14,http://www.wikidata.org/entity/Q3754176,Ricardo Baroja,1871,male,Spain,Europe,"literature, engraving, printmaking, book illustration, art of painting"
15,http://www.wikidata.org/entity/Q3018714,David Rome,1911,male,Canada,North America,
16,http://www.wikidata.org/entity/Q107378439,Firmin S. Prast,1882,male,"Austria, Cisleithania",Europe,
17,http://www.wikidata.org/entity/Q42380081,Benoît Jullien,1961,male,France,Europe,
18,http://www.wikidata.org/entity/Q1460635,Friedrich Küch,1863,male,Germany,Europe,
19,http://www.wikidata.org/entity/Q95175299,František Křížek,1909,male,Czechoslovakia,Europe,"archival science, educational system, local history"
20,http://www.wikidata.org/entity/Q41665925,Bertrand Joly,1979,male,France,Europe,"archival science, historiography"
21,http://www.wikidata.org/entity/Q95182513,Ladislav Lysa,1895,male,Czechoslovakia,Europe,
22,http://www.wikidata.org/entity/Q21003258,María del Pilar Fernández Vega,1895,female,Spain,Europe,
23,http://www.wikidata.org/entity/Q114079576,Mitja Sadek,1976,male,Slovenia,Europe,
24,http://www.wikidata.org/entity/Q95091985,Josef Letocha,1905,male,Czechoslovakia,Europe,
25,http://www.wikidata.org/entity/Q104661712,Josefina Cubells i Llorens,1927,female,Spain,Europe,
26,http://www.wikidata.org/entity/Q1352566,Erich Kittel,1902,male,Germany,Europe,
27,http://www.wikidata.org/entity/Q1928713,Michael Nedo,1940,male,Germany,Europe,digital humanities
28,http://www.wikidata.org/entity/Q1234306,Iván Pető,1946,male,Hungary,Europe,
29,http://www.wikidata.org/entity/Q82027601,Filippo Noberasco,1883,male,Kingdom of Italy,Europe,
30,http://www.wikidata.org/entity/Q1886205,Johan Been,1859,male,Kingdom of the Netherlands,Europe,
31,http://www.wikidata.org/entity/Q11779644,Mieczysław Bandurka,1927,male,Poland,Europe,
32,http://www.wikidata.org/entity/Q112565665,Svetlana Dolgova,1932,female,Soviet Union,"Europe, Asia","history of literature, regional history, cultural history, archival science"
33,http://www.wikidata.org/entity/Q7812824,František Roubík,1890,male,Czechoslovakia,Europe,"bibliography, literature, history"
34,http://www.wikidata.org/entity/Q95137172,Václav Bartůšek,1951,male,Czechoslovakia,Europe,
35,http://www.wikidata.org/entity/Q16519450,Kálmán Eperjessy,1893,male,Hungary,Europe,
36,http://www.wikidata.org/entity/Q4413678,Q4413678,1856,male,Russian Empire,North America,"archival science, archaeography, regional history"
