uriPer,labelPer,birthYear,relaType,uriOrg,labelOrg,nTypes,typesOrg,periods,listTypesOrg
http://www.wikidata.org/entity/Q100293724,Wieland Mittmannsgruber,1946,education,http://www.wikidata.org/entity/Q682739,Johannes Kepler University Linz,1,campus university,1941-1970,['campus university']
http://www.wikidata.org/entity/Q1004154,Frédéric Barbier,1952,employment,http://www.wikidata.org/entity/Q11509930,University Lille-II,1,university in france,1941-1970,['university in france']
http://www.wikidata.org/entity/Q1004154,Frédéric Barbier,1952,education,http://www.wikidata.org/entity/Q3268602,Lycée Buffon,1,lycée,1941-1970,['lycée']
http://www.wikidata.org/entity/Q1004154,Frédéric Barbier,1952,education,http://www.wikidata.org/entity/Q999763,University of Paris 1 Pantheon-Sorbonne,1,university in france,1941-1970,['university in france']
http://www.wikidata.org/entity/Q1004154,Frédéric Barbier,1952,education,http://www.wikidata.org/entity/Q748307,Lycée Charlemagne,1,educational facility,1941-1970,['educational facility']
http://www.wikidata.org/entity/Q1004154,Frédéric Barbier,1952,employment,http://www.wikidata.org/entity/Q273631,École pratique des hautes études,2,educational institution | grand établissement,1941-1970,"['educational institution', 'grand établissement']"
http://www.wikidata.org/entity/Q1004154,Frédéric Barbier,1952,employment,http://www.wikidata.org/entity/Q77725679,Municipal Library of Valenciennes,1,municipal library,1941-1970,['municipal library']
http://www.wikidata.org/entity/Q1004154,Frédéric Barbier,1952,education,http://www.wikidata.org/entity/Q546118,Paris-Sorbonne University - Paris IV,2,former educational institution | university in france,1941-1970,"['former educational institution', 'university in france']"
http://www.wikidata.org/entity/Q1004154,Frédéric Barbier,1952,employment,http://www.wikidata.org/entity/Q999763,University of Paris 1 Pantheon-Sorbonne,1,university in france,1941-1970,['university in france']
http://www.wikidata.org/entity/Q1004154,Frédéric Barbier,1952,employment,http://www.wikidata.org/entity/Q2791269,École nationale supérieure des sciences de l'information et des bibliothèques,1,grand établissement,1941-1970,['grand établissement']
http://www.wikidata.org/entity/Q1004154,Frédéric Barbier,1952,education,http://www.wikidata.org/entity/Q1878600,Lycée Henri-IV,2,educational facility | educational institution,1941-1970,"['educational facility', 'educational institution']"
http://www.wikidata.org/entity/Q1004154,Frédéric Barbier,1952,education,http://www.wikidata.org/entity/Q273570,École des chartes,2,grand établissement | grande école,1941-1970,"['grand établissement', 'grande école']"
http://www.wikidata.org/entity/Q1004154,Frédéric Barbier,1952,employment,http://www.wikidata.org/entity/Q280413,National Center for Scientific Research,4,open-access publisher | organization | public research institution in france | research institute,1941-1970,"['open-access publisher', 'organization', 'public research institution in france', 'research institute']"
http://www.wikidata.org/entity/Q100754484,Isabel Millé Jiménez,1894,membership,http://www.wikidata.org/entity/Q35854422,"Cuerpo Facultativo de Archiveros, Bibliotecarios y Arqueólogos",2,corporation | organization,1881-1910,"['corporation', 'organization']"
http://www.wikidata.org/entity/Q100890440,Rodrigo Moura Visoni,1980,employment,http://www.wikidata.org/entity/Q10302528,Instituto Histórico-Cultural da Aeronáutica,1,museum,1971-2000,['museum']
http://www.wikidata.org/entity/Q100999368,Karl Moeser,1877,education,http://www.wikidata.org/entity/Q875788,University of Innsbruck,1,public university,1851-1880,['public university']
http://www.wikidata.org/entity/Q100999368,Karl Moeser,1877,employment,http://www.wikidata.org/entity/Q876647,Austrian Institute of Historical Research,2,educational institution | facility,1851-1880,"['educational institution', 'facility']"
http://www.wikidata.org/entity/Q100999368,Karl Moeser,1877,education,http://www.wikidata.org/entity/Q15735993,Benediktinergymnasium Meran,2,school | school building,1851-1880,"['school', 'school building']"
http://www.wikidata.org/entity/Q100999368,Karl Moeser,1877,employment,http://www.wikidata.org/entity/Q1285398,Tiroler Landesarchiv,1,archive,1851-1880,['archive']
http://www.wikidata.org/entity/Q100999368,Karl Moeser,1877,education,http://www.wikidata.org/entity/Q165980,University of Vienna,1,university,1851-1880,['university']
