,typesOrg,number,numberOrg
0,grand établissement | grande école,370,2
1,university,222,1
2,corporation | organization,221,2
3,learned society,200,1
4,open-access publisher | university,149,2
5,open-access publisher | public research university,126,2
6,faculty | open-access publisher | publishing company,126,3
7,organization,123,1
8,public university,109,1
9,archive,106,1
10,open-access publisher | public university,106,2
11,comprehensive university | public university,82,2
12,learned society | national academy,71,2
13,landesbetrieb | public university | university of applied sciences,62,3
14,comprehensive university | open-access publisher | public research university | university of excellence,53,4
15,philosophy faculty,53,1
16,academy of sciences,50,1
17,departmental archives,49,1
18,public university | university,49,2
19,university in france,49,1
20,historical society,45,1
21,educational institution | publishing company | research institute,44,3
22,art academy,43,1
23,educational institution | grand établissement,42,2
24,czech research institution | organization | public university | publishing company | university,41,5
25,gymnasium,41,1
26,open-access publisher | organization | public university,39,3
27,national archives | national library,39,2
28,national archives,37,1
29,municipal archive,36,1
30,academy | archive | publishing company,35,3
31,comprehensive university | local internet registry | public research university | public university | publishing company | university of excellence,34,6
32,voluntary association,33,1
33,comprehensive university | local internet registry | public university,33,3
34,campus university | university,31,2
35,public educational institution of the united states | public research university,30,2
36,comprehensive university | public research university | public university | university of excellence,30,4
37,faculty,29,1
38,database | learned society,29,2
39,faculty | faculty of law | research institute,29,3
40,organization | public university,29,2
41,comprehensive university | open-access publisher | public university | university of applied sciences,29,4
42,school,28,1
43,comprehensive university | open-access publisher | public university,28,3
44,medical check-up,27,1
45,academy of sciences | national academy | organization | public body,26,4
46,learned society | voluntary association,26,2
47,educational institution | examination board,25,2
48,former entity | university in france,25,2
49,higher education institution | public university | replaced entity | university,25,4
50,educational organization | open-access publisher | public university | publishing company,24,4
51,historical society | learned society | medical check-up,23,3
52,open-access publisher | public university | university,23,3
53,faculty of history,22,1
54,campus university | comprehensive university | medical check-up | public university | stiftungshochschule,21,5
55,colonial colleges | private not-for-profit educational institution | private university | research university,21,4
56,academy of sciences | national academy | swedish royal academies,21,3
57,educational institution,21,1
58,historical commission for eastern europe | learned society,21,2
59,museum,20,1
60,catalogue | national library | organization | publishing company,20,4
61,academy,20,1
62,open-access publisher | public research university | university in quebec,20,3
63,higher education institution,20,1
64,state archives,20,1
65,educational facility | educational institution,19,2
66,academy of sciences | collection | national academy,19,3
67,high school,18,1
68,ies,18,1
69,comprehensive university | local internet registry | open-access publisher | public university,18,4
70,organization | university,18,2
71,imperial university of the russian empire,18,1
72,institute,18,1
73,comprehensive university | open-access publisher | public research university | public university | university campus | university of excellence,17,6
74,academy of sciences | book publisher | organization,17,3
75,comprehensive university | open-access publisher | organization | public research university | public university | university of excellence,17,6
76,academy | national academy,17,2
77,catholic university,16,1
78,state archive,16,1
79,academy of sciences | national academy,16,2
80,burschenschaft,16,1
81,educational facility,16,1
82,professional association,16,1
83,academic publisher | open-access publisher | public university,15,3
84,public research university | university in quebec,15,2
85,organization | public research university,15,2
86,former educational institution | university in france,15,2
87,public research university,15,1
88,public educational institution of the united states | university,15,2
89,jesuit university | pontifical university,14,2
90,newspaper,14,1
91,open-access publisher | organization | public research institution in france | research institute,13,4
92,library,13,1
93,alumni association,13,1
94,catholic university | university,13,2
95,archive | national archives,13,2
96,studentenverbindung,13,1
97,college of the university of oxford | university building,13,2
98,research institute,12,1
99,historical society | organization,12,2
100,art academy | grande école | higher education institution | open-access publisher,12,4
101,comprehensive university | university,12,2
102,private not-for-profit educational institution | university,12,2
103,main library | national library | public library,12,3
104,charitable organization | learned society,11,2
105,academic publisher | colonial colleges | private not-for-profit educational institution | private university | production company | research university,11,6
106,higher education institution | organization,11,2
107,archive | university,11,2
108,german student corps,11,1
109,government agency,11,1
110,learned society | scientific society,11,2
111,academy of sciences | publishing company,11,2
112,association,11,1
113,open-access publisher | university in france,11,2
114,academic department,10,1
115,academy | language regulator | national academy | organization,10,4
116,historical archive,10,1
117,collection | comprehensive university | public university,10,3
118,cultural institution,10,1
119,academic library,10,1
120,paramilitary organization | political faction | political organization,9,3
121,periodical,9,1
122,czech research institution | open-access publisher | organization | public university | publishing company,9,5
123,academy of sciences | research institute,9,2
124,collegiate university | educational organization | exempt charity | higher education institution | public university,9,5
125,academy of sciences | building,9,2
126,public university | research institute,9,2
127,public educational institution of the united states | public university | research university,9,3
128,scientific society,9,1
129,private not-for-profit educational institution | private university | research university,9,3
130,educational institution | open-access publisher | organization | public university,9,4
131,former entity | higher education institution | public university | university,9,4
132,faculty | faculty of humanities,9,2
133,faculty | faculty of history,9,2
134,building complex | college of the university of oxford,9,2
135,academic publisher | academy | academy of sciences,8,3
136,campus university | comprehensive university | open-access publisher | public university,8,4
137,business,8,1
138,grand établissement,8,1
139,land-grant university | public educational institution of the united states | public research university,8,3
140,learned society | organization,8,2
141,art academy | art museum | museum | national academy,8,4
142,comprehensive university | public university | university of excellence,8,3
143,comprehensive university | organization | public research university | public university,8,4
144,pontifical university,8,1
145,autonomous university | university in quebec,8,2
146,research institute | university,8,2
147,college,8,1
148,cantonal archive | memory institution,8,2
149,council,8,1
150,comprehensive university | local internet registry | organization | public university,7,4
151,comprehensive university | open-access publisher | public research university,7,3
152,public educational institution of the united states | public university,7,2
153,learned society | publishing company,7,2
154,non-governmental organization,7,1
155,open-access publisher | private not-for-profit educational institution | university,7,3
156,educational organization | higher education institution | open-access publisher | university,7,4
157,colonial colleges | organization | private not-for-profit educational institution | private university | research university,7,5
158,seminary,7,1
159,historical commission,7,1
160,government agency of switzerland | memory institution | national archives,7,3
161,publishing company,7,1
162,charitable organization | text publication society,7,2
163,comprehensive university | open-access publisher | organization | public research university,7,4
164,land-grant university | public educational institution of the united states | public research university | united nations depository library,6,4
165,educational institution | facility,6,2
166,open-access publisher | organization,6,2
167,educational facility | school building,6,2
168,archaeological museum | monument | national museum,6,3
169,daily newspaper,6,1
170,catholic theological faculty,6,1
171,academy | theological academy of the russian orthodox church,6,2
172,college of the university of cambridge | university building,6,2
173,catholic university | open-access publisher | organization | private university,6,4
174,open-access publisher | publishing company | university,6,3
175,open-access publisher | private not-for-profit educational institution | private university | research university,6,4
176,open-access publisher | organization | university,6,3
177,academic publisher | grand établissement | grande école | organization | public university,6,5
178,"studentenverbindung, catholic",6,1
179,archive | museum,6,2
180,archive | art academy | arts venue | learned society,6,4
181,library network | medical check-up | public library,6,3
182,fachhochschule | military academy,6,2
183,art academy | college of music | national academy,6,3
184,military organization | paramilitary organization | squadron,6,3
