,uriOrg,labelOrg,typesOrg,orgMainType,tot_members_number
1094,http://www.wikidata.org/entity/Q273570,École des chartes,grand établissement | grande école,public university,370
1470,http://www.wikidata.org/entity/Q35854422,"Cuerpo Facultativo de Archiveros, Bibliotecarios y Arqueólogos",corporation | organization,not classified organisation,221
1466,http://www.wikidata.org/entity/Q3563550,"Faculty of Arts, Charles University in Prague",faculty | open-access publisher | publishing company,university,126
1513,http://www.wikidata.org/entity/Q390287,Eötvös Loránd University,open-access publisher | public research university,university,122
629,http://www.wikidata.org/entity/Q165980,University of Vienna,university,university,102
1997,http://www.wikidata.org/entity/Q636031,Archivschule Marburg,landesbetrieb | public university | university of applied sciences,public university,62
1434,http://www.wikidata.org/entity/Q3487972,Société de l’histoire de France,learned society,learned society,49
1221,http://www.wikidata.org/entity/Q28845821,Société de l'histoire de Paris et de l'Île-de-France,learned society | national academy,learned society,46
240,http://www.wikidata.org/entity/Q12016640,Masaryk University Faculty of Arts,philosophy faculty,university,45
1091,http://www.wikidata.org/entity/Q273542,French School of Rome,educational institution | publishing company | research institute,educational institution,44
1098,http://www.wikidata.org/entity/Q273631,École pratique des hautes études,educational institution | grand établissement,public university,42
1325,http://www.wikidata.org/entity/Q31519,Charles University,czech research institution | organization | public university | publishing company | university,public university,41
756,http://www.wikidata.org/entity/Q182542,Archives nationales,national archives | national library,not classified organisation,39
520,http://www.wikidata.org/entity/Q152087,Humboldt-Universität zu Berlin,comprehensive university | open-access publisher | public research university | university of excellence,university,39
1083,http://www.wikidata.org/entity/Q2720582,Royal Academy of History,academy | archive | publishing company,learned society,34
521,http://www.wikidata.org/entity/Q152171,University of Bonn,comprehensive university | local internet registry | public research university | public university | publishing company | university of excellence,public university,34
1395,http://www.wikidata.org/entity/Q337526,Académie des Inscriptions et Belles-Lettres,art academy,educational institution,34
711,http://www.wikidata.org/entity/Q1752712,Nicolaus Copernicus University in Toruń,open-access publisher | university,university,34
465,http://www.wikidata.org/entity/Q144488,University of Warsaw,campus university | university,university,31
1849,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München,comprehensive university | public research university | public university | university of excellence,public university,30
254,http://www.wikidata.org/entity/Q12047389,"Faculty of Law, Charles University in Prague",faculty | faculty of law | research institute,university,29
548,http://www.wikidata.org/entity/Q154804,Leipzig University,comprehensive university | open-access publisher | public university | university of applied sciences,public university,29
1263,http://www.wikidata.org/entity/Q2985434,Comité des Travaux Historiques et Scientifiques,database | learned society,learned society,29
1070,http://www.wikidata.org/entity/Q265058,Hungarian Academy of Sciences,academy of sciences | national academy | organization | public body,academy of sciences,26
2319,http://www.wikidata.org/entity/Q875788,University of Innsbruck,public university,public university,25
895,http://www.wikidata.org/entity/Q209842,University of Paris,former entity | university in france,university,25
1553,http://www.wikidata.org/entity/Q414188,Göttingen Academy of Sciences and Humanities in Lower Saxony,academy of sciences,academy of sciences,25
926,http://www.wikidata.org/entity/Q21705070,Universidad Central,higher education institution | public university | replaced entity | university,public university,25
937,http://www.wikidata.org/entity/Q219615,University of Barcelona,educational organization | open-access publisher | public university | publishing company,public university,24
169,http://www.wikidata.org/entity/Q1162009,Medieval Academy of America,historical society | learned society | medical check-up,learned society,23
869,http://www.wikidata.org/entity/Q204181,University of Tartu,public university | university,public university,23
786,http://www.wikidata.org/entity/Q189441,Jagiellonian University,public university | university,public university,22
530,http://www.wikidata.org/entity/Q152838,University of Göttingen,campus university | comprehensive university | medical check-up | public university | stiftungshochschule,public university,21
313,http://www.wikidata.org/entity/Q12360160,Baltic Historical Commission,historical commission for eastern europe | learned society,learned society,21
735,http://www.wikidata.org/entity/Q1792159,"Royal Swedish Academy of Letters, History and Antiquities",academy of sciences | national academy | swedish royal academies,academy of sciences,21
803,http://www.wikidata.org/entity/Q193563,Bibliothèque nationale de France,catalogue | national library | organization | publishing company,company or gov. agency,20
554,http://www.wikidata.org/entity/Q155354,University of Marburg,comprehensive university | public university,public university,20
1418,http://www.wikidata.org/entity/Q348402,Adam Mickiewicz University in Poznań,open-access publisher | university,university,20
541,http://www.wikidata.org/entity/Q153987,University of Freiburg,comprehensive university | open-access publisher | public university,public university,20
2124,http://www.wikidata.org/entity/Q7209923,Polish Historical Society,learned society | voluntary association,learned society,20
780,http://www.wikidata.org/entity/Q1878600,Lycée Henri-IV,educational facility | educational institution,educational institution,19
1267,http://www.wikidata.org/entity/Q299015,Austrian Academy of Sciences,academy of sciences | collection | national academy,academy of sciences,19
15,http://www.wikidata.org/entity/Q102400615,Examination Board for Teachers at Secondary Schools of Charles University,educational institution | examination board,educational institution,19
68,http://www.wikidata.org/entity/Q1067935,Laval University,open-access publisher | public research university | university in quebec,university,19
654,http://www.wikidata.org/entity/Q168426,University of Münster,comprehensive university | local internet registry | public university,public university,18
1411,http://www.wikidata.org/entity/Q3445958,Royal Historical Society,historical society,learned society,18
2340,http://www.wikidata.org/entity/Q903092,University of Debrecen,open-access publisher | university,university,18
1580,http://www.wikidata.org/entity/Q4204524,Faculty of History of the Belarusian State University,faculty of history,university,17
1390,http://www.wikidata.org/entity/Q337421,Acadèmia de Bones Lletres de Barcelona,academy | national academy,scientific organisation,17
514,http://www.wikidata.org/entity/Q151510,Heidelberg University,comprehensive university | open-access publisher | public research university | public university | university campus | university of excellence,public university,17
540,http://www.wikidata.org/entity/Q153978,University of Tübingen,comprehensive university | open-access publisher | organization | public research university | public university | university of excellence,public university,17
2072,http://www.wikidata.org/entity/Q684415,Bavarian Academy of Sciences and Humanities,academy of sciences | book publisher | organization,academy of sciences,17
1016,http://www.wikidata.org/entity/Q24685998,Instituto Cardenal Cisneros,ies,not classified organisation,17
2230,http://www.wikidata.org/entity/Q80207,Lviv University,public university,public university,16
283,http://www.wikidata.org/entity/Q1229996,University of Seville,academic publisher | open-access publisher | public university,public university,15
772,http://www.wikidata.org/entity/Q186285,University of Copenhagen,organization | public research university,university,15
564,http://www.wikidata.org/entity/Q156598,Leiden University,organization | university,university,15
1523,http://www.wikidata.org/entity/Q392189,Université de Montréal,public research university | university in quebec,university,15
1839,http://www.wikidata.org/entity/Q546118,Paris-Sorbonne University - Paris IV,former educational institution | university in france,university,15
1192,http://www.wikidata.org/entity/Q2860552,Danish National Archives,national archives,not classified organisation,15
403,http://www.wikidata.org/entity/Q13371,Harvard University,colonial colleges | private not-for-profit educational institution | private university | research university,private university,15
891,http://www.wikidata.org/entity/Q209344,Sapienza University of Rome,organization | public university,public university,15
2024,http://www.wikidata.org/entity/Q658975,University of Lausanne,comprehensive university | public university,public university,14
1993,http://www.wikidata.org/entity/Q633561,University of Zaragoza,open-access publisher | public university | university,public university,14
532,http://www.wikidata.org/entity/Q153006,Freie Universität Berlin,comprehensive university | open-access publisher | public research university | university of excellence,university,14
1676,http://www.wikidata.org/entity/Q467025,Pontifical Gregorian University,jesuit university | pontifical university,university,14
2432,http://www.wikidata.org/entity/Q999763,University of Paris 1 Pantheon-Sorbonne,university in france,university,13
1486,http://www.wikidata.org/entity/Q369839,University of Szeged,open-access publisher | university,university,13
1394,http://www.wikidata.org/entity/Q337512,Académie des sciences d'outre-mer,learned society | national academy,learned society,13
1377,http://www.wikidata.org/entity/Q329464,Royal Prussian Academy of Sciences,academy of sciences,academy of sciences,13
1333,http://www.wikidata.org/entity/Q315658,University of Wrocław,open-access publisher | university,university,13
714,http://www.wikidata.org/entity/Q175529,John Paul II Catholic University of Lublin,catholic university | university,university,13
1318,http://www.wikidata.org/entity/Q31392,Comenius University,open-access publisher | organization | public university,public university,13
1103,http://www.wikidata.org/entity/Q27621,Saint Petersburg State University,open-access publisher | public university,public university,13
1115,http://www.wikidata.org/entity/Q280413,National Center for Scientific Research,open-access publisher | organization | public research institution in france | research institute,research organisation,13
1374,http://www.wikidata.org/entity/Q32829807,Société de l'École des chartes,alumni association,not classified organisation,13
966,http://www.wikidata.org/entity/Q230492,University of Michigan,public educational institution of the united states | public research university,university,12
1510,http://www.wikidata.org/entity/Q383568,University of Valencia,open-access publisher | public university,public university,12
1090,http://www.wikidata.org/entity/Q273534,École du Louvre,art academy | grande école | higher education institution | open-access publisher,public university,12
878,http://www.wikidata.org/entity/Q206702,University of Zurich,comprehensive university | university,university,12
1976,http://www.wikidata.org/entity/Q622683,University of Graz,open-access publisher | university,university,12
2164,http://www.wikidata.org/entity/Q750403,Biblioteca Nacional de España,main library | national library | public library,not classified organisation,12
1252,http://www.wikidata.org/entity/Q29790141,Secció Històrico-Arqueològica de l’Institut d’Estudis Catalans,medical check-up,not classified organisation,12
1720,http://www.wikidata.org/entity/Q49112,Yale University,academic publisher | colonial colleges | private not-for-profit educational institution | private university | production company | research university,private university,11
1829,http://www.wikidata.org/entity/Q5417893,Society of Antiquaries of London,charitable organization | learned society,learned society,11
1330,http://www.wikidata.org/entity/Q3152445,Institut national du patrimoine,higher education institution | organization,educational institution,11
2261,http://www.wikidata.org/entity/Q820887,University of Florence,archive | university,university,11
721,http://www.wikidata.org/entity/Q1768002,National Historical Archive,archive | national archives,not classified organisation,10
567,http://www.wikidata.org/entity/Q156737,Kiel University,comprehensive university | local internet registry | public university,public university,10
546,http://www.wikidata.org/entity/Q154561,Friedrich Schiller University Jena,collection | comprehensive university | public university,public university,10
487,http://www.wikidata.org/entity/Q1473677,University of Santiago de Compostela,open-access publisher | public university,public university,10
1705,http://www.wikidata.org/entity/Q486156,University of Oslo,open-access publisher | public university,public university,10
1113,http://www.wikidata.org/entity/Q28024477,Imperial University of Dorpat,imperial university of the russian empire,university,10
1086,http://www.wikidata.org/entity/Q2728155,Royal Galician Academy,academy | language regulator | national academy | organization,scientific organisation,10
600,http://www.wikidata.org/entity/Q161982,Johannes Gutenberg University Mainz,comprehensive university | local internet registry | open-access publisher | public university,public university,9
142,http://www.wikidata.org/entity/Q1137665,Ghent University,educational institution | open-access publisher | organization | public university,public university,9
1908,http://www.wikidata.org/entity/Q584919,University of Madrid,former entity | higher education institution | public university | university,public university,9
509,http://www.wikidata.org/entity/Q150793,Sturmabteilung,paramilitary organization | political faction | political organization,not classified organisation,9
1826,http://www.wikidata.org/entity/Q54096,University of Cologne,comprehensive university | local internet registry | open-access publisher | public university,public university,9
1819,http://www.wikidata.org/entity/Q537883,Archivo General de Simancas,archive,not classified organisation,9
1606,http://www.wikidata.org/entity/Q4315007,National Historical Archives of Belarus,historical archive,not classified organisation,9
2276,http://www.wikidata.org/entity/Q833738,Heidelberg Academy for Sciences and Humanities,academy of sciences | building,academy of sciences,9
2176,http://www.wikidata.org/entity/Q763586,Masaryk University,czech research institution | open-access publisher | organization | public university | publishing company,public university,9
378,http://www.wikidata.org/entity/Q131262,University of Bologna,open-access publisher | public university,public university,9
1409,http://www.wikidata.org/entity/Q34433,University of Oxford,collegiate university | educational organization | exempt charity | higher education institution | public university,public university,9
1652,http://www.wikidata.org/entity/Q451079,Saxon Academy of Sciences and Humanities,academy of sciences | research institute,academy of sciences,9
1347,http://www.wikidata.org/entity/Q32120,Martin Luther University Halle-Wittenberg,comprehensive university | public university,public university,9
1438,http://www.wikidata.org/entity/Q3488100,Société nationale des Antiquaires de France,historical society | organization,learned society,8
621,http://www.wikidata.org/entity/Q1648961,Czech Academy of Science and Art,academy of sciences | publishing company,academy of sciences,8
795,http://www.wikidata.org/entity/Q192334,University of North Carolina at Chapel Hill,public educational institution of the united states | public research university,university,8
566,http://www.wikidata.org/entity/Q156725,University of Hamburg,comprehensive university | public university | university of excellence,public university,8
916,http://www.wikidata.org/entity/Q214341,University of Amsterdam,research institute | university,university,8
392,http://www.wikidata.org/entity/Q1322403,Royal Academy of Fine Arts of San Fernando,art academy | art museum | museum | national academy,educational institution,8
1529,http://www.wikidata.org/entity/Q40025,Friedrich-Alexander-Universität Erlangen-Nürnberg,comprehensive university | organization | public research university | public university,public university,8
1139,http://www.wikidata.org/entity/Q2822391,"Académie des sciences, belles-lettres et arts de Rouen",organization,not classified organisation,8
1089,http://www.wikidata.org/entity/Q273518,School for Advanced Studies in the Social Sciences,public university | research institute,public university,8
1268,http://www.wikidata.org/entity/Q2991053,Shevchenko Scientific Society,learned society | scientific society,learned society,8
1406,http://www.wikidata.org/entity/Q3432939,Royal Danish Society for Fatherland History,voluntary association,not classified organisation,8
11,http://www.wikidata.org/entity/Q102398072,philosophy faculty of the German university of Prague,philosophy faculty,university,8
2101,http://www.wikidata.org/entity/Q700758,Saarland University,campus university | comprehensive university | open-access publisher | public university,public university,8
2184,http://www.wikidata.org/entity/Q768224,University of Valladolid,open-access publisher | university,university,8
2392,http://www.wikidata.org/entity/Q94301,Royal Society of Canada,academic publisher | academy | academy of sciences,academy of sciences,8
2064,http://www.wikidata.org/entity/Q679141,Swiss Federal Archives,government agency of switzerland | memory institution | national archives,company or gov. agency,7
1766,http://www.wikidata.org/entity/Q5094171,Chetham Society,charitable organization | text publication society,learned society,7
1762,http://www.wikidata.org/entity/Q50662,Goethe University Frankfurt,comprehensive university | local internet registry | organization | public university,public university,7
1759,http://www.wikidata.org/entity/Q503473,University of Geneva,comprehensive university | open-access publisher | organization | public research university,university,7
204,http://www.wikidata.org/entity/Q1187444,University of Pécs,university,university,7
1717,http://www.wikidata.org/entity/Q49088,Columbia University,colonial colleges | organization | private not-for-profit educational institution | private university | research university,private university,7
703,http://www.wikidata.org/entity/Q1742507,University of Macerata,public university,public university,7
593,http://www.wikidata.org/entity/Q1613719,Maria Curie-Skłodowska University,open-access publisher | public university,public university,7
1569,http://www.wikidata.org/entity/Q4201526,Institute of History of the National Academy of Sciences of Belarus,institute,research organisation,7
1493,http://www.wikidata.org/entity/Q372608,University of Basel,comprehensive university | open-access publisher | public research university,university,7
1467,http://www.wikidata.org/entity/Q3571546,General Archive of the Crown of Aragon,archive,not classified organisation,7
2025,http://www.wikidata.org/entity/Q659080,University of Bern,comprehensive university | open-access publisher | public university,public university,7
1107,http://www.wikidata.org/entity/Q2791269,École nationale supérieure des sciences de l'information et des bibliothèques,grand établissement,public university,7
652,http://www.wikidata.org/entity/Q168000,American University,private not-for-profit educational institution | private university | research university,private university,7
614,http://www.wikidata.org/entity/Q1634522,Université du Québec à Montréal,autonomous university | university in quebec,university,7
1201,http://www.wikidata.org/entity/Q28695,University of Helsinki,organization | public university,public university,7
1124,http://www.wikidata.org/entity/Q2822319,Académie de Nîmes,learned society,learned society,7
1621,http://www.wikidata.org/entity/Q43452,Autonomous University of Barcelona,open-access publisher | organization | public university,public university,6
